GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.in.rest.web,WebVerificationController,0,7,0,0,0,3,0,3,0,3
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.in.rest.web,SubscriptionController,9,39,0,0,2,9,1,5,1,5
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.in.rest.web,WebPlatformController,0,13,0,0,0,3,0,2,0,2
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.in.rest.web,WebApiKeyController,23,136,2,4,5,33,2,8,1,6
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.in.rest.web,WebHomeController,0,7,0,0,0,3,0,3,0,3
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.in.rest.shared,SharedTranslateController,31,122,2,10,7,28,2,13,0,9
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.port.in,CollabPort.TeamProjectCreateResult,0,12,0,0,0,1,0,1,0,1
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.port.in,CollabPort.InviteCodeResult,0,9,0,0,0,1,0,1,0,1
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.port.out,VectorSearchResult,0,15,0,0,0,1,0,1,0,1
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.port.out,VectorDocument,24,0,0,0,1,0,1,0,1,0
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.domain.util,EngineAliasRegistry,0,100,1,3,0,18,1,3,0,2
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.in.rest.admin,CacheAdminController,0,16,0,0,0,4,0,3,0,3
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.out.security,UserDetailsFactoryAdapter,5,3,0,0,1,1,1,1,1,1
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.out.security,CustomUserDetails,45,89,8,8,9,20,9,14,3,12
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.in.webhook,StripeWebhookController,12,200,4,28,3,43,4,21,0,6
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.out.redis,TranslationCacheService,275,879,21,61,65,203,20,50,6,23
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.out.translate,TokenAwareRateLimiter,4,187,3,39,1,36,3,28,0,9
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.out.translate,ExternalTranslationService,37,319,11,32,8,56,12,19,1,5
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.out.translate,TeamTranslationService,52,685,23,55,7,123,25,25,2,9
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.out.translate,UserLevelThrottledTranslationClient,470,1088,37,67,80,228,34,45,4,23
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.out.translate,UserLevelThrottledTranslationClient.new ProxySelector() {...},1,6,0,0,1,2,1,2,1,2
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.out.translate,TokenAwareRateLimiter.SlidingWindowCounter,0,129,0,6,0,29,0,9,0,6
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.out.translate,ThrottledTranslationEngineAdapter,15,10,2,0,2,2,3,2,2,2
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.in.rest.collab,CollabCommentController,0,70,0,0,0,17,0,6,0,6
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.in.rest.collab,CollabMemberController,0,56,0,0,0,13,0,6,0,6
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.in.rest.collab,ChapterTaskController,0,73,0,0,0,16,0,7,0,7
NovelTrans 测试覆盖率报告,com.yumu.noveltranslator.adapter.in.rest.plugin,PluginAuthController,8,72,4,8,2,14,4,5,0,3
